piece_id,piece_name,piece_parte,piece_description,piece_model,piece_part,piece_qty,piece_remarks,piece_packageWeight,piece_packageWeightUnit,piece_packageWidth,piece_packageWidthUnit,piece_packageLength,piece_packageLengthUnit,piece_packageQty,piece_alternative_part_id,piece_images
24M7471,Plain Bushing,Casquillo,Plain Bushing,16542,1541442,2,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17304,1541442,2,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,BUSHING,Casquillo,BUSHING,16541,2838619,2,31 X 68 X 10 MM,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,16575,11258262,2,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,18017,11258262,2,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,BUSHING,Casquillo,BUSHING,16574,1181849,2,31 X 68 X 10 MM,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17167,9220077,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17167,9271146,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17440,9220077,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17440,9271146,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17168,12559159,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17168,12615447,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17441,12559159,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17441,12615447,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17161,791513,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17456,791513,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17164,4317752,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17164,4343227,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17455,4317752,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17455,4343227,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17166,8274135,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17166,8286921,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17457,8274135,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17457,8286921,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17576,12433023,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17576,12518074,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17715,12433023,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17715,12518074,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17575,12411756,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17575,12436301,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17713,12411756,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17713,12436301,4,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17584,4400308,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17833,4400308,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
24M7471,Plain Bushing,Casquillo,Plain Bushing,17578,6325013,8,31 X 68 X 10 mm,0.22,LBS,,,,,,,0
